Country,Year,Population
Qatar,2018,2742
Saudi Arabia,1990,10383
Saudi Arabia,2018,30594
State of Palestine,1990,2096
State of Palestine,2018,4797
Syrian Arab Republic,1990,12378
Syrian Arab Republic,2018,19200
Türkiye,1990,55507
Türkiye,2018,83875
United Arab Emirates,1990,1844
United Arab Emirates,2018,9296
Yemen,1990,13621
Yemen,2018,33588
Europe,1990,722829
Europe,2018,748046
Eastern Europe,1990,311024
Eastern Europe,2018,295056
Belarus,1990,10184
Belarus,2018,9489
Bulgaria,1990,8882
Bulgaria,2018,7050
Czechia,1990,10304
Czechia,2018,10546
Hungary,1990,10383
Hungary,2018,9777
Poland,1990,38004
Poland,2018,38249
Republic of Moldova,1990,4447
Republic of Moldova,2018,3172
Romania,1990,22926
Romania,2018,19646
Russian Federation,1990,148642
Russian Federation,2018,146349
Slovakia,1990,5259
Slovakia,2018,5440
Ukraine,1990,51992
Ukraine,2018,45339
Northern Europe,1990,92080
Northern Europe,2018,104827
Denmark,1990,5135
Denmark,2018,5781
Estonia,1990,1570
Estonia,2018,1319
Faroe Islands,1990,48
Faroe Islands,2018,51
Finland,1990,4975
Finland,2018,5513
Guernsey,1990,59
Guernsey,2018,62
Iceland,1990,254
Iceland,2018,349
Ireland,1990,3507
Ireland,2018,4841
Isle of Man,1990,68
Isle of Man,2018,84
Jersey,1990,84
Jersey,2018,102
Latvia,1990,2665
Latvia,2018,1935
Lithuania,1990,3691
Lithuania,2018,2810
Norway,1990,4233
Norway,2018,5295
Sweden,1990,8527
Sweden,2018,10120
United Kingdom,1990,57265
United Kingdom,2018,66565
Southern Europe,1990,143827
Southern Europe,2018,152756
Albania,1990,3274
Albania,2018,2897
Andorra,1990,51
Andorra,2018,75
Bosnia and Herzegovina,1990,4443
Bosnia and Herzegovina,2018,3407
Croatia,1990,4828
Croatia,2018,4047
Gibraltar,1990,27
Gibraltar,2018,35
Greece,1990,10237
Greece,2018,10740
Holy See,1990,1
Holy See,2018,1
Italy,1990,57001
Italy,2018,60336
Kosovo (under UNSC res. 1244),1990,1960
Kosovo (under UNSC res. 1244),2018,1772
Malta,1990,366
Malta,2018,476
Montenegro,1990,619
Montenegro,2018,618
North Macedonia,1990,2060
North Macedonia,2018,1930
Portugal,1990,9999
Portugal,2018,10327
San Marino,1990,23
San Marino,2018,34
Serbia,1990,7879
Serbia,2018,7047
Slovenia,1990,1996
Slovenia,2018,2063
Spain,1990,39062
Spain,2018,46952
Western Europe,1990,175898
Western Europe,2018,195407
Austria,1990,7646
Austria,2018,8823
Belgium,1990,9947
Belgium,2018,11400
France,1990,56847
France,2018,65397
Germany,1990,79376
Germany,2018,83253
Liechtenstein,1990,29
Liechtenstein,2018,38
Luxembourg,1990,379
Luxembourg,2018,602
Monaco,1990,30
Monaco,2018,38
Netherlands,1990,14968
Netherlands,2018,17369
Switzerland,1990,6675
Switzerland,2018,8486
Latin America and the Caribbean,1990,437742
Latin America and the Caribbean,2018,634319
Caribbean,1990,33860
Caribbean,2018,43111
Anguilla,1990,8
Anguilla,2018,15
Antigua and Barbuda,1990,63
Antigua and Barbuda,2018,91
Aruba,1990,64
Aruba,2018,106
Bahamas,1990,274
Bahamas,2018,392
Barbados,1990,258
Barbados,2018,280
"Bonaire, Sint Eustatius and Saba",1990,13
"Bonaire, Sint Eustatius and Saba",2018,25
British Virgin Islands,1990,15
British Virgin Islands,2018,33
Cayman Islands,1990,25
Cayman Islands,2018,65
Cuba,1990,10583
Cuba,2018,11237
Curaçao,1990,156
Curaçao,2018,169
Dominica,1990,70
Dominica,2018,68
Dominican Republic,1990,7076
Dominican Republic,2018,10725
Grenada,1990,100
Grenada,2018,116
Guadeloupe,1990,386
Guadeloupe,2018,418
Haiti,1990,6784
Haiti,2018,10891
Jamaica,1990,2370
Jamaica,2018,2818
Martinique,1990,368
Martinique,2018,367
Montserrat,1990,11
Montserrat,2018,5
Puerto Rico,1990,3525
Puerto Rico,2018,3291
Saint Barthélemy,1990,5
Saint Barthélemy,2018,10
Saint Kitts and Nevis,1990,41
Saint Kitts and Nevis,2018,47
Saint Lucia,1990,137
Saint Lucia,2018,177
Saint Martin (French part),1990,28
Saint Martin (French part),2018,37
Saint Vincent and the Grenadines,1990,112
Saint Vincent and the Grenadines,2018,105
Sint Maarten (Dutch part),1990,27
Sint Maarten (Dutch part),2018,39
Trinidad and Tobago,1990,1247
Trinidad and Tobago,2018,1450
Turks and Caicos Islands,1990,11
Turks and Caicos Islands,2018,41
United States Virgin Islands,1990,102
United States Virgin Islands,2018,94
Central America,1990,110982
Central America,2018,172389
Belize,1990,181
Belize,2018,377
Costa Rica,1990,3082
Costa Rica,2018,4936
El Salvador,1990,5349
El Salvador,2018,6218
Guatemala,1990,8898
Guatemala,2018,16712
Honduras,1990,4910
Honduras,2018,9676
Mexico,1990,82018
Mexico,2018,123978
Nicaragua,1990,4114
Nicaragua,2018,6358
Panama,1990,2429
Panama,2018,4134
South America,1990,292900
South America,2018,418819
Argentina,1990,32515
Argentina,2018,44479
Bolivia (Plurinational State of),1990,7055
Bolivia (Plurinational State of),2018,11427
Brazil,1990,147832
Brazil,2018,205431
Chile,1990,13324
Chile,2018,18722
Colombia,1990,32103
Colombia,2018,48560
Ecuador,1990,10358
Ecuador,2018,16892
Falkland Islands (Malvinas),1990,2
Falkland Islands (Malvinas),2018,4
French Guiana,1990,110
French Guiana,2018,279
Guyana,1990,752
Guyana,2018,771
Paraguay,1990,3982
Paraguay,2018,6383
Peru,1990,21772
Peru,2018,31556
Suriname,1990,411
Suriname,2018,597
Uruguay,1990,3095
Uruguay,2018,3392
Venezuela (Bolivarian Republic of),1990,19588
Venezuela (Bolivarian Republic of),2018,30327
Northern America,1990,279547
Northern America,2018,370844
Bermuda,1990,57
Bermuda,2018,64
Canada,1990,27594
Canada,2018,37043
Greenland,1990,56
Greenland,2018,56
Saint Pierre and Miquelon,1990,6
Saint Pierre and Miquelon,2018,6
United States of America,1990,251834
United States of America,2018,333675
Oceania,1990,26588
Oceania,2018,42462
Australia/New Zealand,1990,20349
Australia/New Zealand,2018,29789
Australia,1990,17004
Australia,2018,24930
New Zealand,1990,3345
New Zealand,2018,4859
Melanesia,1990,5257
Melanesia,2018,11468
Fiji,1990,770
Fiji,2018,918
New Caledonia,1990,174
New Caledonia,2018,284
Papua New Guinea,1990,3840
Papua New Guinea,2018,9287
Solomon Islands,1990,326
Solomon Islands,2018,697
Vanuatu,1990,146
Vanuatu,2018,282
Micronesia,1990,423
Micronesia,2018,519
Guam,1990,137
Guam,2018,163
Kiribati,1990,74
Kiribati,2018,121
Marshall Islands,1990,44
Marshall Islands,2018,46
Micronesia (Fed. States of),1990,100
Micronesia (Fed. States of),2018,110
Nauru,1990,10
Nauru,2018,11
Northern Mariana Islands,1990,43
Northern Mariana Islands,2018,50
Palau,1990,15
Palau,2018,18
Polynesia,1990,560
Polynesia,2018,687
American Samoa,1990,46
American Samoa,2018,51
Cook Islands,1990,17
Cook Islands,2018,17
French Polynesia,1990,202
French Polynesia,2018,280
Niue,1990,2
Niue,2018,2
Samoa,1990,169
Samoa,2018,206
Tokelau,1990,2
Tokelau,2018,2
Tonga,1990,100
Tonga,2018,105
Tuvalu,1990,9
Tuvalu,2018,11
Wallis and Futuna Islands,1990,13
Wallis and Futuna Islands,2018,12
